 ,Qty,Value,MPN,MPN2,Mouser,LCSC
"C1,C2,C8,C9,C15,C25,C42,C43,C44,C53,C55,C56,C60,C62,C63,C66,C67,C69,C70",19,100nF,C0603C104K5RACAUTO,,80-C0603C104K5RAUTO,
"C3,C10,C17",3,47uF, GRM32ER61C476KE15L ,,81-GRM32ER61C476KE5L,
"C4,C6,C7",3,1uF,GRM188D72A105KE01J,,81-GRM188D72A105KE1J,
"C5,C13,C39",3,0.1uF 100V,HMK107B7104KAHT,,963-HMK107B7104KAHT,
"C11,C23,C26,C27,C28",5,4.7uF,MCASL168BD7475KTCA01,,963-MCASL168BD7475KT,
C12,1,120pF, KGM15ACG1H121JT,,581-KGM15ACG1H121JT,
"C14,C18",2,2.2uF,HMK325B7225KN-T,,963-HMK325B7225KN-T,
C16,1,4.7uF,KAM32LR72A475KU,,581-KAM32LR72A475KU,
"C19,C22",2,22uF,GRM188R60J226MEA0D,,81-GRM188R60J226ME0D,
"C20,C31,C49,C50,C51,C54,C59,C61,C64,C68,C71",11,100pF,0603YC101KAT2A,,581-0603YC101KAT2A,
C21,1,100pF,0603YC101KAT2A,,581-0603YC101KAT2A,
"C24,C29",2,15p,06033A150JAT2A,,581-06033A150JAT2A,
"C30,C37",2,330uF 100V,EEV-FK2A331M,,667-EEV-FK2A331M,
"C32,C34",2,1uF 16V,GXT188R71C105KE13D,,81-GXT188R71C105KE3D,
C33,1,0.047uF,C2012X7R2A473K125AA,,810-C2012X7R2A473K,
"C35,C36,C38,C41",4,1uF 100V,CL31B105KCHNNNE ,,187-CL31B105KCHNNNE,
C40,1,10uF 100V,CGA9N3X7S2A106K230KE,,810-CGA9N3X7S2A106KS,
"C48,C52,C65",3,10pF,06033A100KAT2A,,581-06033A100K,
C57,1,4.7uF,KGM15BR50J475KT,,581-KGM15BR50J475KT,
"C58,C72",2,0.01uF,GCM188R71H103KA37J,,81-GCM188R71H103KA7J,
D1,1,SS12,SS12,,821-SS12,
D2,1,SS14,SS14,,821-SS14,
D3,1,LED,LS Q976.01-N1Q2-1 ,,720-LSQ976.01-N1Q2-1,
F1,1,Fuse,0463030.ER,,576-0463030.ER,
J1,1,Conn_01x10,B10B-PHDSS(LF)(SN)(P),,306-B10BPHDSSLFSNP,
J2,1,Heat Mat,217796-1021 ,,538-217796-1021,
J3,1,I2C CONN,22/11/2042,,538-22-11-2042,
J4,1,USB_C_Receptacle_USB2.0_14P,TYPE-C-31-M-12,,,C165948
J5,1,SM03B-SRSS-TB,SM03B-SRSS-TB(LF)(SN) ,,306-SM03BSRSSTBLFSNP,
J6,1,Conn_01x05, 22-11-2052,22/01/2051,538-22-11-2052,
J7,1,Conn_01x02,XT30U-M,,,C99101
J8,1,Conn_01x03,MR30PW-F20.G.Y,,,C19268035
L1,1,15uH,MSS1210-153MED,,994-MSS1210-153MED,
L2,1,470nH,74479275147,,710-74479275147,
L3,1,15uH,MSS1038-153MLB,,994-MSS1038-153MLC,
L4,1,3.3uH,AOTA-B201610S3R3-101-T,,815-AB201610S3R3101T,
Q1,1,DMN3053L-7, DMN3053L-7,,637-MMFTN3402,
"Q2,Q3,Q4,Q5,Q6,Q7",6,SIR680LDP,SIR680LDP,,78-SIR680LDP-T1-RE3,
"R1,R2,R17",3,10k, AC0603JR-7W10KL,,603-AC0603JR-7W10KL,
R3,1,422k,ERJ-3EKF4223V ,,667-ERJ-3EKF4223V,
R4,1,22.1k,CRCW060322K1FKEBC,,71-CRCW060322K1FKEBC,
"R5,R9,R19,R20,R21,R22,R26",7,1k,RC0603FR-101KL ,,603-RC0603FR-101KL,
"R6,R7",2,5.1k,CR0603-FX-5101ELF ,,652-CR0603FX-5101ELF,
"R8,R25",2,4.7k,RC0603FR-7W4K7L ,,603-RC0603FR-7W4K7L,
"R10,R11",2,100k,CRCW0603100KFKEA,,71-CRCW0603-100K-E3,
R12,1,100k, ERJ-PB3B1003V,,667-ERJ-PB3B1003V,
R13,1,453k,CR0603-FX-4533ELF ,,652-CR0603FX-4533ELF,
R14,1,64.9k,CRCW060364K9FKEA,,71-CRCW0603-64.9K-E3,
R15,1,10k,CRCW060310K0FKEI,,71-CRCW060310K0FKEI,
R16,1,40.2k,CR0603-FX-4022ELF ,,652-CR0603FX-4022ELF,
"R18,R24",2,27,CR0603-JW-270ELF ,,652-CR0603-JW-270ELF,
R23,1,33,AC0603DR-0733RL ,,603-AC0603DR-0733RL,
R27,1,330,CRCW0603330RFKEC,,71-CRCW0603330RFKEC,
"R28,R29,R30",3,2m,WSLP25122L000FEA,,71-WSLP25122L000FEA,
"SW1,SW2",2,SW_Push,4.34133E+11,,710-434133025816,
TH1,1,100k 200 C,B57560G1104F000,217796-1021 ,871-B57560G1104F000,
U1,1,LMR51430,LMR51430YFDDCR,,595-LMR51430YFDDCR,
U2,1,WE-TVS-82400102,82400102,,710-82400102,
U3,1,LMR38020SDDAR,LMR38020SDDAR,,595-LMR38020SDDAR,
U4,1,TPS62822DLC,TPS62822DLCR,,595-TPS62822DLCR,
U5,1,RP2350_60QFN,SC1509(13) ,,358-SC150913,
U6,1,W25Q128JVS,W25Q128JVSIM TR ,,454-W25Q128JVSIMTR,
U7,1,DRV8350S,DRV8350SRTVT,,595-DRV8350SRTVT,
"U8,U9,U10",3,INA240A2PW,INA240A2PWR,,595-INA240A2PWR,
Y1,1,ABM8-272-T3,ABM8-272-T3 ,,815-ABM8-272-T3,
